image_name,dice_simple,dice_simple_inv,dice_adapt_mean,dice_adapt_gauss,dice_otsu,dice_rc
healthy-11-roi2.tif,0.056566286181775685,0.5291618896434136,0.4833746134004081,0.47733323044870557,0.6236087260700884,0.6264731476209404
healthy-11-roi3.tif,0.2195625759416768,0.30150147250519,0.3662276809484931,0.36086345274322423,0.36648267689525055,0.369759736206041
healthy-11-roi4.tif,0.04774975809158949,0.5561731421193269,0.5195636061011925,0.5109968468291661,0.6813894548526561,0.6907856967112278
healthy-12-roi1.tif,0.1447200376419977,0.5991880180613931,0.5489365991331518,0.5395489468280741,0.7026604704020131,0.7020595716747354
healthy-12-roi2.tif,0.05872340425531915,0.5224636565879868,0.49783635489436323,0.4858984230187926,0.7444148285497225,0.7444148285497225
healthy-13-roi1.tif,0.21398950924120505,0.32679759544772347,0.3881903575351224,0.3863505297325798,0.3264747552807831,0.32593022693182366
healthy-13-roi2.tif,0.09244108209193107,0.5141962203737862,0.5085463128764447,0.498699928401854,0.7137847248315423,0.7137847248315423
healthy-13-roi3.tif,0.06612842814931957,0.4804775734107777,0.45890208114584174,0.45116744135769105,0.639100782407464,0.6429678107066275
healthy-13-roi4.tif,0.09005025125628141,0.4253126412535784,0.441855763099367,0.43248734137650807,0.6240372126740569,0.6264270062366877
healthy-14-roi2.tif,0.21333333333333335,0.5049007342164902,0.5018056911621123,0.4917695959190421,0.6235559142764212,0.6244945681297803
healthy-14-roi3.tif,0.30642023346303504,0.24698745392333504,0.35947972899532626,0.3584689517228839,0.3105413882449202,0.3191838379187291
healthy-15-roi1.tif,0.1572039594280826,0.4305120624840323,0.4882258726355779,0.47861182655797774,0.5675718135566593,0.5695994505629277
healthy-15-roi2.tif,0.19749450367113286,0.4466170825335892,0.4518627320069435,0.4446295425539061,0.5495066799985544,0.5524929410470475
healthy-16-roi1.tif,0.0836620867909128,0.493947609262489,0.46239470517448855,0.4556130209917858,0.6257715864056683,0.6292672267275288
healthy-16-roi2.tif,0.11425112766785318,0.4804601211380872,0.4435462457589615,0.43652482269503545,0.5463500816446717,0.5479959445758702
healthy-16-roi3.tif,0.09919234220759797,0.35892406569864316,0.3885566188197767,0.38487869224732424,0.5182782445100392,0.5218549580661076
healthy-16-roi4.tif,0.10858097874340628,0.33982578221091475,0.3914913636669131,0.3853024422486992,0.48026605648015236,0.49048656927426953
healthy-16-roi5.tif,0.03080896596254958,0.2137676177380543,0.32665663231832043,0.3215933648735471,0.3636630850125739,0.37076678652061207
healthy-17-roi1.tif,0.021316424102399784,0.6441530611578239,0.5446072045163272,0.5352665245202559,0.7481447644001621,0.7504174784302811
healthy-17-roi2.tif,0.04259564677376662,0.3041625487508103,0.3022170595421682,0.29995979091274627,0.404608366195005,0.41008578276775576
healthy-17-roi3.tif,0.02771744353676117,0.5323030206893427,0.46943332210704886,0.4590151553295403,0.6306431261498155,0.6343557567163309
healthy-17-roi4.tif,0.1179900531641228,0.28589728193427005,0.3464947959034687,0.3456701854733566,0.39797878415560595,0.4014381135334238
healthy-18-roi1.tif,0.004386719421985205,0.5618911478187208,0.5138079801106589,0.5059987009963113,0.6914101382488479,0.6951755819273396
healthy-18-roi2.tif,0.1612773649327174,0.2729963418689724,0.37403884852464575,0.37047180913662137,0.37543231640851044,0.3805078929306795
healthy-18-roi3.tif,0.2664038902337139,0.29046794389388075,0.386792784556419,0.3872484882775204,0.36832492607409983,0.36832492607409983
healthy-18-roi4.tif,0.046370023419203744,0.4564996202404666,0.45739269117606624,0.4531948970011598,0.5654523491639647,0.5746568225321301
healthy-18-roi5.tif,0.22322054304659564,0.4530056931689868,0.4892107478321286,0.48359170525468087,0.5342246950929266,0.5356891364189232
healthy-19-roi1.tif,0.12392208722483952,0.32931927165141656,0.4015429898169985,0.39729654661605407,0.45230252100840335,0.45513501730292377
healthy-19-roi2.tif,0.04516269635043838,0.6328342422740043,0.5691939543990138,0.5623445936807498,0.6966398328621527,0.6985145990587724
healthy-19-roi3.tif,0.3043054001951591,0.29300639332988054,0.4139168945328882,0.4120672268907563,0.39151801704993194,0.3934054760694313
healthy-19-roi4.tif,0.015068924582697386,0.48579669484186344,0.4512673045602606,0.4456810971241429,0.6023554904596617,0.6023554904596617
healthy-19-roi5.tif,0.24944150499706055,0.22823115970324093,0.337236355314848,0.33640852888259387,0.3735070575461455,0.3780797895659798
healthy-19-roi6.tif,0.25367038304448614,0.29394605272224733,0.4034432246490116,0.40305524852764074,0.3755480333254225,0.37907565483989974
healthy-20-roi1.tif,0.038293659721909734,0.5128226617499162,0.488090007323081,0.48283066373814754,0.6395503100462858,0.6440232801074467
healthy-20-roi2.tif,0.12071617547529687,0.49684566522860796,0.5054355879460617,0.5024939007861209,0.6337635588192493,0.6337635588192493
healthy-20-roi3.tif,0.14784100657706606,0.4417609916489656,0.4673289214505364,0.46245894616592886,0.5516178411190288,0.5547560753958496
healthy-20-roi4.tif,0.051496143958868895,0.5700312862334096,0.5099412066063282,0.5040934664581974,0.651118360578916,0.6536105472964324
healthy-21-roi1.tif,0.08480768127307155,0.5616435569718955,0.5395961752585603,0.5325531545101674,0.6574616555028944,0.6634860164135795
healthy-21-roi2.tif,0.2526224617457415,0.2693832875778292,0.39727004569203184,0.39434593249338934,0.3571156147664953,0.3668769673102866
healthy-21-roi3.tif,0.1439770054873269,0.49827933696203575,0.5248916040176348,0.5195804025604206,0.595108346272908,0.5981592941624188
healthy-21-roi4.tif,0.1355596218359256,0.42489593860806113,0.45661076594883293,0.4552537112222344,0.5571367544187537,0.5594991819792047
healthy-21-roi5.tif,0.13137904769747,0.49997510721677346,0.5245325545605467,0.5203665615986565,0.5916176644697897,0.5944619558712045
healthy-22-roi1.tif,0.11133987963256256,0.4665214852688223,0.4697353279631761,0.4636339975129414,0.6329322054092696,0.6329322054092696
healthy-22-roi2.tif,0.02292469466396708,0.34749284912846284,0.3822366970298373,0.37903129631838084,0.5530341953530856,0.559251197213757
healthy-22-roi3.tif,0.05127492531091503,0.2910994241587059,0.35330921151816674,0.35041108404384896,0.44325919201089425,0.44816101731570523
healthy-23-roi1.tif,0.0700507614213198,0.5873505699193773,0.5162417438741237,0.5112496182256259,0.6803069513334771,0.6834031442093238
healthy-23-roi2.tif,0.17341272227902407,0.2461418039116132,0.2971900587959456,0.29399884593191,0.29280627996090536,0.29280627996090536
